squirrel_id,latitude,longitude,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
39G-AM-1018-01,40.7952475548048,-73.9532620128307,AM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
32G-PM-1013-03,40.7904409912437,-73.9576349321357,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
4D-PM-1008-11,40.7686351097159,-73.9763430829342,PM,2018-10-08,Adult,Cinnamon,Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True
6H-AM-1008-01,40.7694886645194,-73.9714789136757,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False
5E-AM-1008-08,40.7697883435981,-73.9755133710665,AM,2018-10-08,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
15D-PM-1017-01,40.7773295419104,-73.9702348982803,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-AM-1014-03,40.7781658424866,-73.9686056085297,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False
39H-PM-1013-02,40.7949598486683,-73.9522142360388,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
39C-PM-1006-02,40.7972751877447,-73.9576589997493,PM,2018-10-06,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
31A-AM-1010-04,40.7915700446878,-73.9637946878735,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,False
9F-PM-1014-02,40.7723889726647,-73.9710991123992,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
21G-PM-1007-02,40.7810450065235,-73.9638270331336,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,False,True
2F-AM-1006-01,40.7670090327736,-73.9756015005821,AM,2018-10-06,Adult,Gray,Ground Plane,walking along path,False,False,False,False,True,,False,False,False,False,True,False,True,False
